result,starplayer_difference,rpi_rating_difference,Log5,adjoe_difference,adjde_difference,EFG-OEEG,TPP-DTPP_difference,SRS_difference,SOS_difference,adjwin_difference,Hostwin_difference,coach_influence_difference,previous_performance_dif,team1_Pts,team1_Opp,team1_MOV,team1_SOS,team1_OSRS,team1_DSRS,team1_SRS,team2_W,team2_L,team2_Pts,team2_Opp,team2_MOV,team2_SOS,team2__OSRS,team2_DSRS,team2_SRS,team1_starplayer_1,team2_starplayer_2,starplayer_difference,Numot,team1_rankdifference,rank_change_difference,dif_distance,exp_win2,Log5,team2_coachrank_difference,team1_seed,team2_seed,seed_difference,team1_adjde,team1_adjoe,team1_adjtempo,team1_ap_final,team1_ap_preseason,team1_arate,team1_blockpct,team1_coaches_before_final,team1_coaches_preseason,team1_de,team1_f3grate,team1_fg2pct,team1_fg3pct,team1_EFP,team1_ftpct,team1_oe,team1_opparate,team1_oppblockpct,team1_oppf3grate,team1_oppfg2pct,team1_oppfg3pct,team1_OEFP,team1_EFP-OEFG,team1_oppftpct,team1_oppstlrate,team1_pt_career_overall_losses,team1_pt_career_school_losses,team1_pt_career_school_wins,team1_pt_coach_season_losses,team1_pt_coach_season_wins,team1_pt_overall_ff,team1_pt_overall_ncaa,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_school_ncaa,team1_pt_school_s16,team1_pt_team_season_losses,team1_pt_team_season_wins,team1_rpi_rating,team1_seed.1,team1_stlrate,team1_TPP-DTPP,team1_tempo,team2_adjde,team2_adjoe,team2_adjtempo,team2_ap_final,team2_ap_preseason,team2_ap_rank_difference,team2_arate,team2_blockpct,team2_coaches_before_final,team2_coaches_preseason,team2_coaches_difference,team2_rank_difference,team2_de,team2_f3grate,team2_fg2pct,team2_fg3pct,team2_EFG,team2_ftpct,team2_oe,team2_opparate,team2_oppblockpct,team2_oppf3grate,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_OEFG,team2_EFG-OEFG,team2_oppstlrate,team2_TPP-OTPP,team2_pt_career_overall_losses,team2_pt_career_school_losses,team2_pt_career_school_wins,team2_pt_coach_season_losses,team2_pt_coach_season_wins,team2_pt_overall_ff,team2_pt_overall_ncaa,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_school_ncaa,team2_pt_school_s16,team2_pt_team_season_losses,team2_pt_team_season_wins,team2_rpi_rating,team2_score,team2_seed,team2_stlrate,team2_tempo
0,0,-0.116,0.1420244,-0.525,-12.1469,-3.933603265,0.0054,-16.42,-16.33,0.035115865,-0.075,-88.81686793,-52,79.5,71,8.45,-8.9,4.72,-5.12,-0.4,27,7,77.8,69.2,8.59,7.43,9.33,6.69,16.02,0,0,0,0,0,-22,301.9739112,0.910081282,0.1420244,19,15,2,-13,103.7417,107.6656,70.2842,32,32,50.3893,8.8716,32,32,98.9916,31.864,53.4684,35.5,53.39880902,66.8774,112.2398,50.3614,6.703,33.0729,49.6498,30.2362,48.22915358,5.169655444,67.5325,0.0952,56,56,90,6,26,0,1,0,0,1,0,6,26,0.511,15,0.1131,-0.0179,70.1835,91.5948,108.1906,70.3456,10,32,22,50.823,15.6499,13,32,19,20.5,93.6429,19.4334,50.4627,39.3862,52.13719834,69.6315,106.1949,55.7831,8.575,30.8891,40.5836,32.3442,71.151,43.03393964,9.103258709,0.091,-0.0125,286,149,623,6,24,1,14,7,1,9,7,6,24,0.627,78,2,0.1035,71.8605
0,-1,-0.028,0.374936933,1.3384,-4.6169,-0.376403134,0.0186,-4.09,-2.94,-0.023863636,-0.133333333,-4.411140084,2,71.7,63.1,8.67,1.15,1.21,8.61,9.81,26,6,72.4,62.6,9.81,4.09,4.58,9.32,13.9,0,1,-1,0,7.5,-3,-4783.214156,0.914553182,0.374936933,13,10,7,-3,96.6259,110.4563,66.8943,25,32,66.6248,9.1203,24,32,94.6345,34.9233,48.9529,38.374,51.95913259,68.7055,108.4417,48.011,8.2024,29.9604,44.6328,33.2075,46.18428433,5.774848254,66.3921,0.0772,230,203,258,5,27,0,2,0,0,2,0,5,27,0.585,10,0.1046,-0.0274,67.0323,92.009,109.1179,68.0282,22,32,10,51.4801,10.6557,19,32,13,11.5,93.2482,31.9284,49.1942,35.6239,50.54849098,72.1019,108.3514,51.9256,8.7362,28.7307,43.7407,30.6839,66.8687,44.39723959,6.151251388,0.0898,-0.0088,13,5,49,5,25,0,1,0,0,0,0,5,25,0.613,70,7,0.0986,66.8298
0,0,-0.078,0.064663771,-3.504,-15.3691,-5.133068888,-0.0519,-19.59,-6.28,-0.26993464,-0.138888889,-68.15054498,-10,73.6,70.6,3.03,1.42,2.14,-0.69,1.45,31,5,78,64.6,13.33,7.7,9.43,11.61,21.04,0,0,0,0,0,-22,-1016.750541,0.955451678,0.064663771,22,15,2,-13,103.9632,106.9515,68.9228,32,32,52.0356,3.5893,32,32,104.3741,32.4532,44.7068,40.1695,49.75244504,65.8409,105.7122,55.9387,11.1564,31.0702,50.1669,33.7037,50.28765433,-0.535209289,69.9104,0.0855,91,91,86,13,20,0,1,0,0,1,0,13,20,0.577,15,0.0805,0.005,68.5598,88.5941,110.4555,68.4844,3,25,22,51.1375,9.6264,3,25,22,22,91.4413,29.5484,48.2265,35.0148,49.49581062,76.676,111.0435,55.4717,8.1518,28.9796,44.8994,29.9296,68.5611,44.89795102,4.597859599,0.0824,-0.0469,176,73,286,4,27,0,8,1,0,7,1,4,27,0.655,71,2,0.1293,69.3604
1,-1,-0.045,0.19230477,-8.9863,-2.172,-3.779188802,-0.0408,-9.72,2.92,-0.197374517,-0.316666667,-153.1331864,-208,70.5,62.6,7.86,12.08,5.53,13.66,19.19,31,4,88.9,69.2,19.74,9.16,21.31,7.6,28.91,0,1,-1,0,-10,-10,324.9219247,0.98504296,0.19230477,0,5,1,-4,89.9224,109.6136,66.5739,32,22,58.4949,12.5086,32,22,94.4987,33.0213,48.3696,40,52.21010928,69.4561,105.3974,48.2295,10.0155,27.359,42.8866,35.5839,45.75635391,6.453755368,66.4013,0.1075,24,24,41,11,20,0,1,0,0,1,0,11,20,0.611,5,0.1045,0.003,65.7442,87.7504,118.5999,75.1685,1,1,0,57.1821,7.2251,1,1,0,0,90.2544,37.5736,57.4329,36.2651,56.29244731,68.9845,116.3726,49.5516,7.4692,26.1916,46.2916,30.2703,68.8693,46.05950314,10.23294417,0.0919,-0.0378,226,167,635,3,29,9,17,12,9,17,12,3,29,0.656,73,1,0.1297,77.0734
1,0,0.007,0.606642402,-4.055,6.2786,1.501772194,-0.0287,5.52,9.98,-0.168168168,-0.127272727,-12.21381762,1,70.5,62.6,7.86,12.08,5.53,13.66,19.19,30,6,75.9,64,11.86,2.1,5.71,7.96,13.67,0,0,0,0,-10,-10,222.2819439,0.910453068,0.606642402,0,5,10,5,89.9224,109.6136,66.5739,32,22,58.4949,12.5086,32,22,94.4987,33.0213,48.3696,40,52.21010928,69.4561,105.3974,48.2295,10.0155,27.359,42.8866,35.5839,45.75635391,6.453755368,66.4013,0.1075,24,24,41,11,20,0,1,0,0,1,0,11,20,0.611,5,0.1045,0.003,65.7442,96.201,113.6686,66.1658,32,32,0,48.4721,5.4849,32,32,0,0,96.7084,28.7894,50.7947,36.5812,51.96847263,73.1034,115.7547,50.6394,5.5978,32.9782,46.1844,32.4717,68.9051,47.01648945,4.951983174,0.0717,-0.0257,5,5,27,5,27,0,0,0,0,0,0,5,27,0.604,69,10,0.0974,65.4145
0,-1,-0.048,0.36135522,-6.6415,1.62,-1.692165092,-0.0207,-4.31,2.7,-0.19039039,-0.233333333,-82.33649238,-43,70.5,62.6,7.86,12.08,5.53,13.66,19.19,32,4,85,70.9,14.11,9.38,18.2,5.3,23.5,0,1,-1,0,-10,-8,253.4368251,0.965172072,0.36135522,-2,5,1,-4,89.9224,109.6136,66.5739,32,22,58.4949,12.5086,32,22,94.4987,33.0213,48.3696,40,52.21010928,69.4561,105.3974,48.2295,10.0155,27.359,42.8866,35.5839,45.75635391,6.453755368,66.4013,0.1075,24,24,41,11,20,0,1,0,0,1,0,11,20,0.611,5,0.1045,0.003,65.7442,91.5424,116.2551,75.418,4,2,-2,65.928,13.6106,4,2,-2,-2,94.3706,25.8007,51.9185,37.4138,53.00269702,72.5616,113.1674,53.1522,7.6739,31.1198,43.6673,31.6597,68.118,44.85677656,8.14592046,0.0941,-0.0177,271,143,475,4,26,1,11,7,1,8,5,4,26,0.659,64,1,0.1118,75.2758
1,0,-0.044,0.422331445,-0.8419,-1.3283,1.855895769,-0.0499,-1.85,4.38,-0.157057057,-0.288888889,-61.24399665,-10,70.5,62.6,7.86,12.08,5.53,13.66,19.19,31,5,78,64.6,13.33,7.7,9.43,11.61,21.04,0,0,0,0,-10,-32,575.5304268,0.955451678,0.422331445,22,5,2,-3,89.9224,109.6136,66.5739,32,22,58.4949,12.5086,32,22,94.4987,33.0213,48.3696,40,52.21010928,69.4561,105.3974,48.2295,10.0155,27.359,42.8866,35.5839,45.75635391,6.453755368,66.4013,0.1075,24,24,41,11,20,0,1,0,0,1,0,11,20,0.611,5,0.1045,0.003,65.7442,88.5941,110.4555,68.4844,3,25,22,51.1375,9.6264,3,25,22,22,91.4413,29.5484,48.2265,35.0148,49.49581062,76.676,111.0435,55.4717,8.1518,28.9796,44.8994,29.9296,68.5611,44.89795102,4.597859599,0.0824,-0.0469,176,73,286,4,27,0,8,1,0,7,1,4,27,0.655,64,2,0.1293,69.3604
1,0,0.022,0.727878468,0.9905,5.7235,0.711765383,-0.0025,8.51,6.9,0.007387387,0.1,-63.6400638,-39,70.5,62.6,7.86,12.08,5.53,13.66,19.19,21,9,67.3,61.3,5.97,5.18,-0.69,11.37,10.68,0,0,0,0,-10,-10,-2148.977013,0.854272842,0.727878468,0,5,12,7,89.9224,109.6136,66.5739,32,22,58.4949,12.5086,32,22,94.4987,33.0213,48.3696,40,52.21010928,69.4561,105.3974,48.2295,10.0155,27.359,42.8866,35.5839,45.75635391,6.453755368,66.4013,0.1075,24,24,41,11,20,0,1,0,0,1,0,11,20,0.611,5,0.1045,0.003,65.7442,95.6459,108.6231,63.3547,32,32,0,63.7224,7.3961,32,32,0,0,97.4318,40.2778,50.306,40.4719,54.49563634,67.9443,107.7123,51.5702,7.3439,27.6393,49.1388,31.8302,70.6406,48.75364635,5.741989985,0.0927,0.0005,133,81,382,8,21,1,9,4,1,8,4,8,21,0.589,56,12,0.0922,62.6181
1,1,0.175,0.965170553,18.3411,6.11,11.95871749,-0.0105,26,14.45,0.353808354,0.321428571,82.05538978,71,90.9,74.7,16.22,9.35,22.92,1.46,24.38,18,15,63.1,59.6,3.48,-5.1,-10.29,8.67,-1.62,1,0,1,0,5,5,39.5351712,0.501782879,0.965170553,0,1,16,15,90.5399,115.0406,79.1217,2,7,61.3288,12.2449,2,7,94.4261,21.791,52.5627,41.0959,54.5415734,71.9128,114.5438,52.5424,9.1058,31.1622,41.8677,36.4754,45.87060924,8.670964158,68.1621,0.1094,92,92,384,3,29,2,12,7,2,12,7,3,29,0.673,1,0.1159,-0.0065,79.0371,96.6499,96.6995,63.7588,32,32,0,63.1124,9.3551,32,32,0,0,92.2897,25.629,42.9583,33.79,44.93857594,69.153,98.0754,64.4315,9.6774,32.6606,43.6876,38.3895,65.604,48.22632927,-3.287753327,0.1047,-0.017,164,40,194,14,18,0,3,1,0,1,0,14,18,0.498,59,16,0.1217,64.2138
1,1,0.051,0.673768777,3.1258,2.2578,2.676112298,-0.0191,5.18,-0.59,0.183938224,-0.05,68.32451306,67,90.9,74.7,16.22,9.35,22.92,1.46,24.38,26,9,77.4,67.7,9.69,9.94,10.9,8.3,19.2,1,0,1,0,5,15,-292.5479028,0.93109885,0.673768777,-13,1,4,3,90.5399,115.0406,79.1217,2,7,61.3288,12.2449,2,7,94.4261,21.791,52.5627,41.0959,54.5415734,71.9128,114.5438,52.5424,9.1058,31.1622,41.8677,36.4754,45.87060924,8.670964158,68.1621,0.1094,92,92,384,3,29,2,12,7,2,12,7,3,29,0.673,1,0.1159,-0.0065,79.0371,92.7977,111.9148,70.701,13,3,-10,64.978,11.1111,16,3,-13,-11.5,96.4559,35.8178,52.7419,36.7052,53.57140443,74.0139,109.6636,55.092,8.1452,35.2551,45.7053,34.0087,66.3158,47.57655257,5.99485186,0.0793,-0.0256,97,16,180,8,24,0,3,2,0,1,1,8,24,0.622,69,4,0.1049,70.3965
0,0,0.014,0.501771584,-1.2145,1.0025,0.525043698,-0.0112,0.88,-0.03,0.036636637,-0.083333333,13.51546075,28,90.9,74.7,16.22,9.35,22.92,1.46,24.38,32,4,85,70.9,14.11,9.38,18.2,5.3,23.5,1,1,0,0,5,7,-245.4881967,0.965172072,0.501771584,-2,1,1,0,90.5399,115.0406,79.1217,2,7,61.3288,12.2449,2,7,94.4261,21.791,52.5627,41.0959,54.5415734,71.9128,114.5438,52.5424,9.1058,31.1622,41.8677,36.4754,45.87060924,8.670964158,68.1621,0.1094,92,92,384,3,29,2,12,7,2,12,7,3,29,0.673,1,0.1159,-0.0065,79.0371,91.5424,116.2551,75.418,4,2,-2,65.928,13.6106,4,2,-2,-2,94.3706,25.8007,51.9185,37.4138,53.00269702,72.5616,113.1674,53.1522,7.6739,31.1198,43.6673,31.6597,68.118,44.85677656,8.14592046,0.0941,-0.0177,271,143,475,4,26,1,11,7,1,8,5,4,26,0.659,97,1,0.1118,75.2758
1,0,-0.033,0.48210974,2.1732,-2.324,1.790550308,0.0085,-3.26,-5.57,0.125079365,0.127272727,-6.079570707,0,75.9,64,11.86,2.1,5.71,7.96,13.67,27,8,75.9,66.7,9.26,7.67,9.51,7.41,16.93,0,0,0,0,0,-16,262.9946321,0.91612084,0.48210974,16,10,2,-8,96.201,113.6686,66.1658,32,32,48.4721,5.4849,32,32,96.7084,28.7894,50.7947,36.5812,51.96847263,73.1034,115.7547,50.6394,5.5978,32.9782,46.1844,32.4717,47.01648945,4.951983174,68.9051,0.0717,5,5,27,5,27,0,0,0,0,0,0,5,27,0.604,10,0.0974,-0.0257,65.4145,93.877,111.4954,69.9001,8,24,16,50.5495,8.0468,8,24,16,16,95.2313,33.945,50.6579,30.8677,49.17913699,73.5782,108.4361,46.988,7.1637,32.7925,45.2085,31.7841,68.2422,46.01770413,3.161432866,0.0881,-0.0172,73,49,149,7,26,0,2,0,0,0,0,7,26,0.637,58,2,0.1053,69.8636
1,0,-0.001,0.638625277,9.4416,-4.3022,1.109228566,0.013,-0.72,-4.7,0.153472222,0.012987013,-137.0712045,-41,75.9,64,11.86,2.1,5.71,7.96,13.67,23,9,71.7,64.1,7.59,6.8,2.61,11.78,14.39,0,0,0,0,0,2,1066.404958,0.85192468,0.638625277,-4,10,7,-3,96.201,113.6686,66.1658,32,32,48.4721,5.4849,32,32,96.7084,28.7894,50.7947,36.5812,51.96847263,73.1034,115.7547,50.6394,5.5978,32.9782,46.1844,32.4717,47.01648945,4.951983174,68.9051,0.0717,5,5,27,5,27,0,0,0,0,0,0,5,27,0.604,10,0.0974,-0.0257,65.4145,91.8988,104.227,67.3849,20,18,-2,55.0898,8.641,22,18,-4,-3,92.8097,27.3752,49.3718,32.7451,49.30222593,64.4068,103.9347,51.0013,8.8692,30.7776,45.1689,30.742,68.231,45.45947132,3.842754608,0.0997,-0.0127,278,113,704,8,23,2,22,11,1,9,4,8,23,0.605,61,7,0.1124,68.8801
